[2019-08-14 15:24:45,465]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:24:45,465]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:24:45,588]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:24:45,588]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:24:45,802]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:24:45,802]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:24:47,468]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:24:47,468]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:24:45.465182', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.0001423358917236, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:24:47,591]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:24:47,591]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:24:45.588153', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.000217914581299, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:24:47,805]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:24:47,805]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:24:45.802557', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.0012433528900146, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:28:22,892]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:28:22,893]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:28:23,235]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:28:23,236]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:28:23,532]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:28:23,532]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:28:24,896]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:28:24,897]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:28:22.892045', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.000547409057617, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:28:25,239]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:28:25,239]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:28:23.236293', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.0007221698760986, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:28:25,535]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:28:25,535]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:28:23.532358', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.0002965927124023, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:28:25,571]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:28:25,572]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:28:25,876]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:28:25,876]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:28:26,089]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:28:26,090]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:28:27,575]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:28:27,576]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:28:25.572633', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.001021146774292, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:28:27,880]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:28:27,880]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:28:25.876357', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.0008223056793213, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:28:28,094]-[INFO]-[api]-[267]   async_GetHistoryDataObjectRecordSetsRequest success!
[2019-08-14 15:28:28,094]-[CRITICAL]-[main]-[71]   {'case_id': 'ASyncGetHistoryDataObjectRecordSets_1', 'date': '2019-08-14 15:28:26.090889', 'status': '结束', 'exec_point': 'end', 'result_code': 1, 'totle_time': 2.001354217529297, 'check_case': '暂时没想到咋校验', 'check_result': 'success', 'data_count': 0}
[2019-08-14 15:35:31,636]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:35:31,637]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
[2019-08-14 15:35:31,976]-[CRITICAL]-[main]-[59]   Run Test: ASyncGetHistoryDataObjectRecordSets_1
[2019-08-14 15:35:31,976]-[INFO]-[history_pb_requests]-[19]   start make pb_request.
